Round,Date,Time,Home_Id,Home,Away_Id,Away,Home_Score,Away_Score
25,29/03/2019,00/01/1900,6777,Al-Faisaly,1316,Al-Ittihad,,
25,29/03/2019,00/01/1900,6780,Al-Nassr,1317,Al-Hilal,,
25,30/03/2019,00/01/1900,9624,Ohod,6774,Al-Shabab,,
24,01/04/2019,00/01/1900,10483,Al-Feiha,6770,Al-Ahli,,
26,04/04/2019,00/01/1900,6773,Al-Raed,6780,Al-Nassr,,
26,04/04/2019,00/01/1900,6846,Al-Hazm,1317,Al-Hilal,,
26,04/04/2019,00/01/1900,1316,Al-Ittihad,9623,Al-Baten,,
26,05/04/2019,00/01/1900,6775,Al-Quadisiya,9624,Ohod,,
26,05/04/2019,00/01/1900,6777,Al-Faisaly,6772,Al-Fateh,,
26,05/04/2019,00/01/1900,6774,Al-Shabab,6770,Al-Ahli,,
26,06/04/2019,00/01/1900,10483,Al-Feiha,6778,Al-Taawon,,
26,06/04/2019,00/01/1900,6847,Al-Wahda,5680,Al-Ittifaq,,
27,11/04/2019,00/01/1900,9623,Al-Baten,6774,Al-Shabab,,
27,11/04/2019,00/01/1900,6846,Al-Hazm,6773,Al-Raed,,
27,11/04/2019,00/01/1900,5680,Al-Ittifaq,6772,Al-Fateh,,
27,12/04/2019,00/01/1900,6778,Al-Taawon,6775,Al-Quadisiya,,
27,12/04/2019,00/01/1900,9624,Ohod,10483,Al-Feiha,,
27,12/04/2019,00/01/1900,6847,Al-Wahda,6777,Al-Faisaly,,
27,12/04/2019,00/01/1900,6780,Al-Nassr,1316,Al-Ittihad,,
27,13/04/2019,00/01/1900,6770,Al-Ahli,1317,Al-Hilal,,
28,17/04/2019,00/01/1900,6770,Al-Ahli,6847,Al-Wahda,,
28,18/04/2019,00/01/1900,6780,Al-Nassr,6772,Al-Fateh,,
28,18/04/2019,00/01/1900,6775,Al-Quadisiya,9623,Al-Baten,,
28,18/04/2019,00/01/1900,1317,Al-Hilal,6778,Al-Taawon,,
28,18/04/2019,00/01/1900,1316,Al-Ittihad,5680,Al-Ittifaq,,
28,19/04/2019,00/01/1900,6773,Al-Raed,9624,Ohod,,
28,20/04/2019,00/01/1900,6774,Al-Shabab,6846,Al-Hazm,,
28,20/04/2019,00/01/1900,10483,Al-Feiha,6777,Al-Faisaly,,
29,11/05/2019,00/01/1900,6777,Al-Faisaly,6770,Al-Ahli,,
29,11/05/2019,00/01/1900,5680,Al-Ittifaq,1317,Al-Hilal,,
29,11/05/2019,00/01/1900,9623,Al-Baten,9624,Ohod,,
29,11/05/2019,00/01/1900,6846,Al-Hazm,6780,Al-Nassr,,
29,11/05/2019,00/01/1900,1316,Al-Ittihad,6772,Al-Fateh,,
29,11/05/2019,00/01/1900,6847,Al-Wahda,6775,Al-Quadisiya,,
29,11/05/2019,00/01/1900,6778,Al-Taawon,6774,Al-Shabab,,
29,11/05/2019,00/01/1900,6773,Al-Raed,10483,Al-Feiha,,
30,16/05/2019,00/01/1900,6780,Al-Nassr,,Al-Baten,,
30,16/05/2019,00/01/1900,6775,Al-Quadisiya,6846,Al-Hazm,,
30,16/05/2019,00/01/1900,9624,Ohod,1316,Al-Ittihad,,
30,16/05/2019,00/01/1900,6778,Al-Taawon,6777,Al-Faisaly,,
30,16/05/2019,00/01/1900,6770,Al-Ahli,5680,Al-Ittifaq,,
30,16/05/2019,00/01/1900,1317,Al-Hilal,6774,Al-Shabab,,
30,16/05/2019,00/01/1900,6772,Al-Fateh,6773,Al-Raed,,
30,16/05/2019,00/01/1900,10483,Al-Feiha,6847,Al-Wahda,,
